,0,1,2,3,4,5,6
181,炉のだいどころ 田 でん 町田西口,東京都町田市森野１－１４－９MKビル1F,139.4430030867,35.5436677093,140,居酒屋,営業している
182,椿や 八重洲日本橋店,東京都中央区日本橋２-2-4 せっつビル3Ｆ,139.7724626137,35.6820853326,150,居酒屋,営業している
183,Living Bar M&W TOKYO,東京都渋谷区渋谷３－７－６第6矢木ビルB１F,139.7045710352,35.6574724003,24,ダイニングバー・バル,営業している
184,音音 おとおと 上野バンブーガーデン店,東京都台東区上野公園１－５２バンブーガーデン２Ｆ,139.7746862165,35.7121264541,353,和食,営業している
185,かまどか 秋葉原電気街口店,東京都千代田区外神田１-13-3 ヒューリック秋葉原中央通りビル6F,139.7715817342,35.6989123034,134,居酒屋,営業している
186,地鶏専門個室 石ばし 秋葉原本店,東京都千代田区神田佐久間町１-15川初ビル5FA,139.7745145878,35.6977391807,238,居酒屋,営業している
187,地酒屋 漁介 高田馬場店,東京都新宿区高田馬場１-17-10,139.7069700473,35.7116246991,80,居酒屋,営業している
188,上野 海鮮問屋 磯べゑ,東京都台東区上野６－７－９中川ビル１階,139.7760195275,35.7098684107,80,居酒屋,営業していない
189,渋谷 ピカリエ PIKARIE 道玄坂本店,東京都渋谷区道玄坂２－９－１０松本ビル７F,139.698103195,35.6588804025,50,ダイニングバー・バル,営業している
190,ロードハウス ROAD HOUSE 新宿西口店,東京都新宿区西新宿１－４－１９ミルトスビル１Ｆ＆２Ｆ,139.6986378907,35.6930460137,65,ダイニングバー・バル,営業している
191,玄品ふぐ 新宿三丁目の関,東京都新宿区新宿３‐８‐２クロスビル２Ｆ,139.7065650901,35.690665938,108,和食,営業していない
192,肉バル 牛タン個室ダイニング TORITAN 蒲田駅前店,東京都大田区西蒲田７－６７－１４三晃ビル3階,139.7140371045,35.5619875622,80,ダイニングバー・バル,営業している
193,しゃぶステ 日本橋店,東京都中央区日本橋兜町9-5,139.7776910731,35.6817246797,52,居酒屋,営業していない
194,北海道 飯田橋東口店,東京都千代田区飯田橋３－５東京区政会館２Ｆ,139.7474250845,35.7011708472,170,和食,営業していない
195,銀月 水道橋店,東京都千代田区神田三崎町２丁目19－9ＭＭビル4F,139.7527307295,35.7015520573,70,ダイニングバー・バル,営業している
196,ぽど 浜松町,東京都港区海岸１-2-20汐留ビルディング2階,139.7592978059,35.6567181136,62,居酒屋,営業していない
197,Jack soiree,東京都墨田区江東橋４－１６－５SKビル２F,139.8170649837,35.6947512121,45,ダイニングバー・バル,営業している
198,肉バル ニッチーズ 肉CHEESE 渋谷店,東京都渋谷区道玄坂１-5-9  ザ・レンガビル3F,139.6993725603,35.6581638504,104,焼肉・ホルモン,営業している
199,なごや香 高田馬場駅前,東京都新宿区高田馬場１-２７-６KIビル 【７階】※旅行会社JTB会社の隣りのビル,139.7047329779,35.7125570342,98,居酒屋,営業している
200,マスターシェフキッチン,東京都港区芝２-2-12 2F,139.7536739884,35.6529942158,50,居酒屋,営業していない
